mechanism_id,boot_status,n_boot_valid,boot_ci_low,boot_ci_high,boot_ci_excludes_zero,loo_sign_stability
interaction_with_mean_vpd__sd_precipitation,FIT_OK,300,0.09787633013818238,0.3875125572492393,True,1.0
low_tail_q25__rooting_depth,FIT_OK,300,0.041394116177175914,0.2851201424210573,True,1.0
low_tail_q25__rooting_zone_storage_rooting_depth,FIT_OK,300,0.050769922921916594,0.3002170897925715,True,1.0
low_tail_q25__trait_rooting_depth,FIT_OK,300,0.05118923648119225,0.29771639338878403,True,1.0
linear__soil_sand,FIT_OK,300,0.10411632983251395,0.35035241244529347,True,1.0
high_tail_q75__soil_sand,FIT_OK,300,0.0894906842818476,0.30737994079631,True,1.0
high_tail_q90__soil_sand,FIT_OK,300,0.044707684588173,0.2703615669735593,True,1.0
linear__soil_sand_mean,FIT_OK,300,0.11459092583358202,0.37512798781393775,True,1.0
high_tail_q75__soil_sand_mean,FIT_OK,300,0.10127584771469632,0.32902187850662323,True,1.0
high_tail_q90__soil_sand_mean,FIT_OK,300,0.0507438256588122,0.2706716256882844,True,1.0
linear__soil_silt,FIT_OK,300,-0.42508644217706143,-0.1466089318749346,True,1.0
low_tail_q10__soil_silt,FIT_OK,300,0.04968243164468149,0.2532641860643373,True,1.0
low_tail_q25__soil_silt,FIT_OK,300,0.17379949634482503,0.4098921692367385,True,1.0
high_tail_q75__soil_silt,FIT_OK,300,-0.2569422435723401,-0.054141891920066104,True,1.0
linear__soil_silt_mean,FIT_OK,300,-0.4349884574052238,-0.13886494031578187,True,1.0
low_tail_q10__soil_silt_mean,FIT_OK,300,0.022285270205731036,0.24391355930473463,True,1.0
low_tail_q25__soil_silt_mean,FIT_OK,300,0.17517600284194335,0.4081397634266525,True,1.0
high_tail_q75__soil_silt_mean,FIT_OK,300,-0.2527410823337259,-0.039733391226750396,True,1.0
linear__soil_texture_coarse_index,FIT_OK,300,0.06316787142427421,0.30481117645606637,True,1.0
linear__soil_texture_fine_index,FIT_OK,300,-0.3590414408990508,-0.0832248520419254,True,1.0
low_tail_q10__soil_texture_fine_index,FIT_OK,300,0.053307527100198177,0.2711845654186013,True,1.0
low_tail_q25__soil_texture_fine_index,FIT_OK,300,0.0905593296209381,0.3321351469278567,True,1.0
linear__soil_texture_pc1,FIT_OK,300,0.09275216784685246,0.3581196743359242,True,1.0
high_tail_q75__soil_texture_pc1,FIT_OK,300,0.08862965482210387,0.32089893431705396,True,1.0
high_tail_q90__soil_texture_pc1,FIT_OK,300,0.04509382858257881,0.28273916875829885,True,1.0
quadratic__mat,FIT_OK,300,0.14930813826985723,0.46589061838232604,True,1.0
low_tail_q10__mat,FIT_OK,300,0.19824715202977808,0.5712762406655936,True,1.0
hinge_low_q10__mat,FIT_OK,300,0.10050282169154946,0.5409903447206657,True,1.0
hinge_low_q25__mat,FIT_OK,300,0.2788954485583018,0.6575500194121884,True,1.0
hinge_high_q90__mat,FIT_OK,300,-0.4201230120183852,-0.08311605118681682,True,1.0
interaction_with_mean_annual_precipitation__mat,FIT_OK,300,0.0840747671659455,0.4242974975944521,True,1.0
quadratic__mean_annual_temperature,FIT_OK,300,0.16619112527272792,0.46732051993955714,True,1.0
low_tail_q10__mean_annual_temperature,FIT_OK,300,0.2071588204773752,0.5708608011248026,True,1.0
hinge_low_q10__mean_annual_temperature,FIT_OK,300,0.13995229961136457,0.5266510839896553,True,1.0
hinge_low_q25__mean_annual_temperature,FIT_OK,300,0.2635649064532345,0.6919178341149389,True,1.0
hinge_high_q90__mean_annual_temperature,FIT_OK,300,-0.4151643163387108,-0.11109854693893877,True,1.0
interaction_with_mean_annual_precipitation__mean_annual_temperature,FIT_OK,300,0.0890110309414515,0.41524312554872167,True,1.0
quadratic__mean_temperature,FIT_OK,300,0.13668708367602322,0.4634009553762786,True,1.0
low_tail_q10__mean_temperature,FIT_OK,300,0.20214716392439508,0.5421424022717758,True,1.0
hinge_low_q10__mean_temperature,FIT_OK,300,0.1253966546190723,0.5425735305507043,True,1.0
hinge_low_q25__mean_temperature,FIT_OK,300,0.25621758955842444,0.6688659696884641,True,1.0
hinge_high_q90__mean_temperature,FIT_OK,300,-0.43063445509356657,-0.06743952703651845,True,1.0
interaction_with_mean_annual_precipitation__mean_temperature,FIT_OK,300,0.09970100193192846,0.42568736135514307,True,1.0
quadratic__median_temperature,FIT_OK,300,0.09811200883896147,0.44593523172482263,True,1.0
hinge_low_q25__median_temperature,FIT_OK,300,0.1998715849351472,0.6551686246592515,True,1.0
interaction_with_mean_annual_precipitation__median_temperature,FIT_OK,300,0.07377683239352054,0.46723048987116855,True,1.0
low_tail_q10__n_temperature,FIT_OK,300,-0.30274918815164026,-0.06526172547147184,True,1.0
low_tail_q25__n_temperature,FIT_OK,300,-0.3158999050040304,-0.06954512963968575,True,1.0
high_tail_q75__n_temperature,FIT_OK,300,0.06425004628825236,0.2950256184599938,True,1.0
quadratic__p10_temperature,FIT_OK,300,0.15370618662719052,0.4678498875657033,True,1.0
low_tail_q10__p10_temperature,FIT_OK,300,0.2318757047260147,0.6263568273289374,True,1.0
hinge_low_q25__p10_temperature,FIT_OK,300,0.2495278033546383,0.623201197885582,True,1.0
interaction_with_mean_annual_precipitation__p10_temperature,FIT_OK,300,0.05821173438858986,0.4145396702751412,True,1.0
interaction_with_mean_annual_precipitation__p90_temperature,FIT_OK,300,0.11434997463504794,0.3776963745325012,True,1.0
quadratic__sd_temperature,FIT_OK,300,0.08292780910519124,0.306095363569677,True,1.0
interaction_with_mean_vpd__sd_temperature,FIT_OK,300,-0.5412748119210788,-0.13251344283199137,True,1.0
