id,feature,type,moderator,params
high_tail_q90__soil_silt,soil_silt,high_tail,,"{'q': 0.9, 'cut': 1.3109903955754687}"
hinge_high_q90__soil_silt,soil_silt,hinge_high,,"{'q': 0.9, 'cut': 1.3109903955754687}"
interaction_with_mean_annual_temperature__soil_silt,soil_silt,interaction,mean_annual_temperature,{'moderator_family': 'temperature'}
interaction_with_mean_vpd__soil_silt,soil_silt,interaction,mean_vpd,{'moderator_family': 'baseline_vpd'}
interaction_with_mean_soil_moisture__soil_silt,soil_silt,interaction,mean_soil_moisture,{'moderator_family': 'baseline_soil_moisture'}
interaction_with_aridity__soil_silt,soil_silt,interaction,aridity,{'moderator_family': 'aridity'}
interaction_with_mean_annual_precipitation__soil_silt,soil_silt,interaction,mean_annual_precipitation,{'moderator_family': 'precipitation'}
linear__soil_silt_mean,soil_silt_mean,linear,,{}
quadratic__soil_silt_mean,soil_silt_mean,quadratic,,{}
low_tail_q10__soil_silt_mean,soil_silt_mean,low_tail,,"{'q': 0.1, 'cut': -1.408907324525168}"
hinge_low_q10__soil_silt_mean,soil_silt_mean,hinge_low,,"{'q': 0.1, 'cut': -1.408907324525168}"
low_tail_q25__soil_silt_mean,soil_silt_mean,low_tail,,"{'q': 0.25, 'cut': -0.7410897675040342}"
hinge_low_q25__soil_silt_mean,soil_silt_mean,hinge_low,,"{'q': 0.25, 'cut': -0.7410897675040342}"
high_tail_q75__soil_silt_mean,soil_silt_mean,high_tail,,"{'q': 0.75, 'cut': 0.7647415685945902}"
hinge_high_q75__soil_silt_mean,soil_silt_mean,hinge_high,,"{'q': 0.75, 'cut': 0.7647415685945902}"
high_tail_q90__soil_silt_mean,soil_silt_mean,high_tail,,"{'q': 0.9, 'cut': 1.3109903955754687}"
hinge_high_q90__soil_silt_mean,soil_silt_mean,hinge_high,,"{'q': 0.9, 'cut': 1.3109903955754687}"
interaction_with_mean_annual_temperature__soil_silt_mean,soil_silt_mean,interaction,mean_annual_temperature,{'moderator_family': 'temperature'}
interaction_with_mean_vpd__soil_silt_mean,soil_silt_mean,interaction,mean_vpd,{'moderator_family': 'baseline_vpd'}
interaction_with_mean_soil_moisture__soil_silt_mean,soil_silt_mean,interaction,mean_soil_moisture,{'moderator_family': 'baseline_soil_moisture'}
interaction_with_aridity__soil_silt_mean,soil_silt_mean,interaction,aridity,{'moderator_family': 'aridity'}
interaction_with_mean_annual_precipitation__soil_silt_mean,soil_silt_mean,interaction,mean_annual_precipitation,{'moderator_family': 'precipitation'}
linear__soil_texture_coarse_index,soil_texture_coarse_index,linear,,{}
quadratic__soil_texture_coarse_index,soil_texture_coarse_index,quadratic,,{}
low_tail_q10__soil_texture_coarse_index,soil_texture_coarse_index,low_tail,,"{'q': 0.1, 'cut': -1.2267470963745035}"
hinge_low_q10__soil_texture_coarse_index,soil_texture_coarse_index,hinge_low,,"{'q': 0.1, 'cut': -1.2267470963745035}"
low_tail_q25__soil_texture_coarse_index,soil_texture_coarse_index,low_tail,,"{'q': 0.25, 'cut': -0.6344692757350173}"
hinge_low_q25__soil_texture_coarse_index,soil_texture_coarse_index,hinge_low,,"{'q': 0.25, 'cut': -0.6344692757350173}"
high_tail_q75__soil_texture_coarse_index,soil_texture_coarse_index,high_tail,,"{'q': 0.75, 'cut': 0.638928038639879}"
hinge_high_q75__soil_texture_coarse_index,soil_texture_coarse_index,hinge_high,,"{'q': 0.75, 'cut': 0.638928038639879}"
high_tail_q90__soil_texture_coarse_index,soil_texture_coarse_index,high_tail,,"{'q': 0.9, 'cut': 1.237487593740693}"
hinge_high_q90__soil_texture_coarse_index,soil_texture_coarse_index,hinge_high,,"{'q': 0.9, 'cut': 1.237487593740693}"
interaction_with_mean_annual_temperature__soil_texture_coarse_index,soil_texture_coarse_index,interaction,mean_annual_temperature,{'moderator_family': 'temperature'}
interaction_with_mean_vpd__soil_texture_coarse_index,soil_texture_coarse_index,interaction,mean_vpd,{'moderator_family': 'baseline_vpd'}
interaction_with_mean_soil_moisture__soil_texture_coarse_index,soil_texture_coarse_index,interaction,mean_soil_moisture,{'moderator_family': 'baseline_soil_moisture'}
interaction_with_aridity__soil_texture_coarse_index,soil_texture_coarse_index,interaction,aridity,{'moderator_family': 'aridity'}
interaction_with_mean_annual_precipitation__soil_texture_coarse_index,soil_texture_coarse_index,interaction,mean_annual_precipitation,{'moderator_family': 'precipitation'}
linear__soil_texture_fine_index,soil_texture_fine_index,linear,,{}
quadratic__soil_texture_fine_index,soil_texture_fine_index,quadratic,,{}
low_tail_q10__soil_texture_fine_index,soil_texture_fine_index,low_tail,,"{'q': 0.1, 'cut': -1.3979312146354579}"
hinge_low_q10__soil_texture_fine_index,soil_texture_fine_index,hinge_low,,"{'q': 0.1, 'cut': -1.3979312146354579}"
low_tail_q25__soil_texture_fine_index,soil_texture_fine_index,low_tail,,"{'q': 0.25, 'cut': -0.7289280642537345}"
hinge_low_q25__soil_texture_fine_index,soil_texture_fine_index,hinge_low,,"{'q': 0.25, 'cut': -0.7289280642537345}"
high_tail_q75__soil_texture_fine_index,soil_texture_fine_index,high_tail,,"{'q': 0.75, 'cut': 0.7063170665070567}"
hinge_high_q75__soil_texture_fine_index,soil_texture_fine_index,hinge_high,,"{'q': 0.75, 'cut': 0.7063170665070567}"
high_tail_q90__soil_texture_fine_index,soil_texture_fine_index,high_tail,,"{'q': 0.9, 'cut': 1.218441571159732}"
hinge_high_q90__soil_texture_fine_index,soil_texture_fine_index,hinge_high,,"{'q': 0.9, 'cut': 1.218441571159732}"
interaction_with_mean_annual_temperature__soil_texture_fine_index,soil_texture_fine_index,interaction,mean_annual_temperature,{'moderator_family': 'temperature'}
interaction_with_mean_vpd__soil_texture_fine_index,soil_texture_fine_index,interaction,mean_vpd,{'moderator_family': 'baseline_vpd'}
interaction_with_mean_soil_moisture__soil_texture_fine_index,soil_texture_fine_index,interaction,mean_soil_moisture,{'moderator_family': 'baseline_soil_moisture'}
interaction_with_aridity__soil_texture_fine_index,soil_texture_fine_index,interaction,aridity,{'moderator_family': 'aridity'}
interaction_with_mean_annual_precipitation__soil_texture_fine_index,soil_texture_fine_index,interaction,mean_annual_precipitation,{'moderator_family': 'precipitation'}
linear__soil_texture_pc1,soil_texture_pc1,linear,,{}
quadratic__soil_texture_pc1,soil_texture_pc1,quadratic,,{}
low_tail_q10__soil_texture_pc1,soil_texture_pc1,low_tail,,"{'q': 0.1, 'cut': -1.219660880918448}"
hinge_low_q10__soil_texture_pc1,soil_texture_pc1,hinge_low,,"{'q': 0.1, 'cut': -1.219660880918448}"
low_tail_q25__soil_texture_pc1,soil_texture_pc1,low_tail,,"{'q': 0.25, 'cut': -0.7061142253107464}"
hinge_low_q25__soil_texture_pc1,soil_texture_pc1,hinge_low,,"{'q': 0.25, 'cut': -0.7061142253107464}"
high_tail_q75__soil_texture_pc1,soil_texture_pc1,high_tail,,"{'q': 0.75, 'cut': 0.728298393035159}"
hinge_high_q75__soil_texture_pc1,soil_texture_pc1,hinge_high,,"{'q': 0.75, 'cut': 0.728298393035159}"
high_tail_q90__soil_texture_pc1,soil_texture_pc1,high_tail,,"{'q': 0.9, 'cut': 1.3949793766272773}"
hinge_high_q90__soil_texture_pc1,soil_texture_pc1,hinge_high,,"{'q': 0.9, 'cut': 1.3949793766272773}"
interaction_with_mean_annual_temperature__soil_texture_pc1,soil_texture_pc1,interaction,mean_annual_temperature,{'moderator_family': 'temperature'}
interaction_with_mean_vpd__soil_texture_pc1,soil_texture_pc1,interaction,mean_vpd,{'moderator_family': 'baseline_vpd'}
interaction_with_mean_soil_moisture__soil_texture_pc1,soil_texture_pc1,interaction,mean_soil_moisture,{'moderator_family': 'baseline_soil_moisture'}
interaction_with_aridity__soil_texture_pc1,soil_texture_pc1,interaction,aridity,{'moderator_family': 'aridity'}
interaction_with_mean_annual_precipitation__soil_texture_pc1,soil_texture_pc1,interaction,mean_annual_precipitation,{'moderator_family': 'precipitation'}
linear__env_eco_biome_temperate_grasslands_savannas_shrublands,"env_eco_biome_Temperate_Grasslands,_Savannas_&_Shrublands",linear,,{}
linear__lc11_point_geography_all199_i_env_eco_biome_temperate_grasslands_savannas_shrublands,lc11_point_geography_all199_i__env_eco_biome_temperate_grasslands_savannas_shrublands,linear,,{}
linear__mat,mat,linear,,{}
quadratic__mat,mat,quadratic,,{}
low_tail_q10__mat,mat,low_tail,,"{'q': 0.1, 'cut': -1.4560623385814089}"
hinge_low_q10__mat,mat,hinge_low,,"{'q': 0.1, 'cut': -1.4560623385814089}"
low_tail_q25__mat,mat,low_tail,,"{'q': 0.25, 'cut': -0.7806079218576085}"
hinge_low_q25__mat,mat,hinge_low,,"{'q': 0.25, 'cut': -0.7806079218576085}"
high_tail_q75__mat,mat,high_tail,,"{'q': 0.75, 'cut': 0.9100418467152447}"
hinge_high_q75__mat,mat,hinge_high,,"{'q': 0.75, 'cut': 0.9100418467152447}"
high_tail_q90__mat,mat,high_tail,,"{'q': 0.9, 'cut': 1.1782846394682094}"
hinge_high_q90__mat,mat,hinge_high,,"{'q': 0.9, 'cut': 1.1782846394682094}"
interaction_with_mean_vpd__mat,mat,interaction,mean_vpd,{'moderator_family': 'baseline_vpd'}
interaction_with_mean_soil_moisture__mat,mat,interaction,mean_soil_moisture,{'moderator_family': 'baseline_soil_moisture'}
interaction_with_aridity__mat,mat,interaction,aridity,{'moderator_family': 'aridity'}
interaction_with_mean_annual_precipitation__mat,mat,interaction,mean_annual_precipitation,{'moderator_family': 'precipitation'}
linear__mean_annual_temperature,mean_annual_temperature,linear,,{}
quadratic__mean_annual_temperature,mean_annual_temperature,quadratic,,{}
low_tail_q10__mean_annual_temperature,mean_annual_temperature,low_tail,,"{'q': 0.1, 'cut': -1.4560623385814089}"
hinge_low_q10__mean_annual_temperature,mean_annual_temperature,hinge_low,,"{'q': 0.1, 'cut': -1.4560623385814089}"
low_tail_q25__mean_annual_temperature,mean_annual_temperature,low_tail,,"{'q': 0.25, 'cut': -0.7806079218576085}"
hinge_low_q25__mean_annual_temperature,mean_annual_temperature,hinge_low,,"{'q': 0.25, 'cut': -0.7806079218576085}"
high_tail_q75__mean_annual_temperature,mean_annual_temperature,high_tail,,"{'q': 0.75, 'cut': 0.9100418467152447}"
hinge_high_q75__mean_annual_temperature,mean_annual_temperature,hinge_high,,"{'q': 0.75, 'cut': 0.9100418467152447}"
high_tail_q90__mean_annual_temperature,mean_annual_temperature,high_tail,,"{'q': 0.9, 'cut': 1.1782846394682094}"
hinge_high_q90__mean_annual_temperature,mean_annual_temperature,hinge_high,,"{'q': 0.9, 'cut': 1.1782846394682094}"
interaction_with_mean_vpd__mean_annual_temperature,mean_annual_temperature,interaction,mean_vpd,{'moderator_family': 'baseline_vpd'}
interaction_with_mean_soil_moisture__mean_annual_temperature,mean_annual_temperature,interaction,mean_soil_moisture,{'moderator_family': 'baseline_soil_moisture'}
interaction_with_aridity__mean_annual_temperature,mean_annual_temperature,interaction,aridity,{'moderator_family': 'aridity'}
interaction_with_mean_annual_precipitation__mean_annual_temperature,mean_annual_temperature,interaction,mean_annual_precipitation,{'moderator_family': 'precipitation'}
linear__mean_temperature,mean_temperature,linear,,{}
quadratic__mean_temperature,mean_temperature,quadratic,,{}
low_tail_q10__mean_temperature,mean_temperature,low_tail,,"{'q': 0.1, 'cut': -1.456111596275548}"
hinge_low_q10__mean_temperature,mean_temperature,hinge_low,,"{'q': 0.1, 'cut': -1.456111596275548}"
low_tail_q25__mean_temperature,mean_temperature,low_tail,,"{'q': 0.25, 'cut': -0.7805676182158778}"
hinge_low_q25__mean_temperature,mean_temperature,hinge_low,,"{'q': 0.25, 'cut': -0.7805676182158778}"
high_tail_q75__mean_temperature,mean_temperature,high_tail,,"{'q': 0.75, 'cut': 0.9100059399703677}"
hinge_high_q75__mean_temperature,mean_temperature,hinge_high,,"{'q': 0.75, 'cut': 0.9100059399703677}"
high_tail_q90__mean_temperature,mean_temperature,high_tail,,"{'q': 0.9, 'cut': 1.1782945428411364}"
hinge_high_q90__mean_temperature,mean_temperature,hinge_high,,"{'q': 0.9, 'cut': 1.1782945428411364}"
interaction_with_mean_vpd__mean_temperature,mean_temperature,interaction,mean_vpd,{'moderator_family': 'baseline_vpd'}
interaction_with_mean_soil_moisture__mean_temperature,mean_temperature,interaction,mean_soil_moisture,{'moderator_family': 'baseline_soil_moisture'}
interaction_with_aridity__mean_temperature,mean_temperature,interaction,aridity,{'moderator_family': 'aridity'}
interaction_with_mean_annual_precipitation__mean_temperature,mean_temperature,interaction,mean_annual_precipitation,{'moderator_family': 'precipitation'}
linear__median_temperature,median_temperature,linear,,{}
quadratic__median_temperature,median_temperature,quadratic,,{}
low_tail_q10__median_temperature,median_temperature,low_tail,,"{'q': 0.1, 'cut': -1.4455633125517733}"
hinge_low_q10__median_temperature,median_temperature,hinge_low,,"{'q': 0.1, 'cut': -1.4455633125517733}"
low_tail_q25__median_temperature,median_temperature,low_tail,,"{'q': 0.25, 'cut': -0.777759456366802}"
hinge_low_q25__median_temperature,median_temperature,hinge_low,,"{'q': 0.25, 'cut': -0.777759456366802}"
high_tail_q75__median_temperature,median_temperature,high_tail,,"{'q': 0.75, 'cut': 0.9253487905677154}"
hinge_high_q75__median_temperature,median_temperature,hinge_high,,"{'q': 0.75, 'cut': 0.9253487905677154}"
high_tail_q90__median_temperature,median_temperature,high_tail,,"{'q': 0.9, 'cut': 1.159328160849421}"
hinge_high_q90__median_temperature,median_temperature,hinge_high,,"{'q': 0.9, 'cut': 1.159328160849421}"
interaction_with_mean_vpd__median_temperature,median_temperature,interaction,mean_vpd,{'moderator_family': 'baseline_vpd'}
interaction_with_mean_soil_moisture__median_temperature,median_temperature,interaction,mean_soil_moisture,{'moderator_family': 'baseline_soil_moisture'}
interaction_with_aridity__median_temperature,median_temperature,interaction,aridity,{'moderator_family': 'aridity'}
interaction_with_mean_annual_precipitation__median_temperature,median_temperature,interaction,mean_annual_precipitation,{'moderator_family': 'precipitation'}
linear__n_temperature,n_temperature,linear,,{}
quadratic__n_temperature,n_temperature,quadratic,,{}
low_tail_q10__n_temperature,n_temperature,low_tail,,"{'q': 0.1, 'cut': 0.061391018641121356}"
hinge_low_q10__n_temperature,n_temperature,hinge_low,,"{'q': 0.1, 'cut': 0.061391018641121356}"
low_tail_q25__n_temperature,n_temperature,low_tail,,"{'q': 0.25, 'cut': 0.061391018641121356}"
hinge_low_q25__n_temperature,n_temperature,hinge_low,,"{'q': 0.25, 'cut': 0.061391018641121356}"
high_tail_q75__n_temperature,n_temperature,high_tail,,"{'q': 0.75, 'cut': 0.11617493213700864}"
hinge_high_q75__n_temperature,n_temperature,hinge_high,,"{'q': 0.75, 'cut': 0.11617493213700864}"
high_tail_q90__n_temperature,n_temperature,high_tail,,"{'q': 0.9, 'cut': 0.28052667262467046}"
hinge_high_q90__n_temperature,n_temperature,hinge_high,,"{'q': 0.9, 'cut': 0.28052667262467046}"
interaction_with_mean_vpd__n_temperature,n_temperature,interaction,mean_vpd,{'moderator_family': 'baseline_vpd'}
interaction_with_mean_soil_moisture__n_temperature,n_temperature,interaction,mean_soil_moisture,{'moderator_family': 'baseline_soil_moisture'}
interaction_with_aridity__n_temperature,n_temperature,interaction,aridity,{'moderator_family': 'aridity'}
interaction_with_mean_annual_precipitation__n_temperature,n_temperature,interaction,mean_annual_precipitation,{'moderator_family': 'precipitation'}
linear__p10_temperature,p10_temperature,linear,,{}
quadratic__p10_temperature,p10_temperature,quadratic,,{}
low_tail_q10__p10_temperature,p10_temperature,low_tail,,"{'q': 0.1, 'cut': -1.439452418367648}"
hinge_low_q10__p10_temperature,p10_temperature,hinge_low,,"{'q': 0.1, 'cut': -1.439452418367648}"
low_tail_q25__p10_temperature,p10_temperature,low_tail,,"{'q': 0.25, 'cut': -0.9467581626497283}"
hinge_low_q25__p10_temperature,p10_temperature,hinge_low,,"{'q': 0.25, 'cut': -0.9467581626497283}"
high_tail_q75__p10_temperature,p10_temperature,high_tail,,"{'q': 0.75, 'cut': 0.9590370099847311}"
hinge_high_q75__p10_temperature,p10_temperature,hinge_high,,"{'q': 0.75, 'cut': 0.9590370099847311}"
high_tail_q90__p10_temperature,p10_temperature,high_tail,,"{'q': 0.9, 'cut': 1.1480312686608771}"
hinge_high_q90__p10_temperature,p10_temperature,hinge_high,,"{'q': 0.9, 'cut': 1.1480312686608771}"
interaction_with_mean_vpd__p10_temperature,p10_temperature,interaction,mean_vpd,{'moderator_family': 'baseline_vpd'}
interaction_with_mean_soil_moisture__p10_temperature,p10_temperature,interaction,mean_soil_moisture,{'moderator_family': 'baseline_soil_moisture'}
interaction_with_aridity__p10_temperature,p10_temperature,interaction,aridity,{'moderator_family': 'aridity'}
interaction_with_mean_annual_precipitation__p10_temperature,p10_temperature,interaction,mean_annual_precipitation,{'moderator_family': 'precipitation'}
linear__p90_temperature,p90_temperature,linear,,{}
quadratic__p90_temperature,p90_temperature,quadratic,,{}
low_tail_q10__p90_temperature,p90_temperature,low_tail,,"{'q': 0.1, 'cut': -1.5370922300585448}"
hinge_low_q10__p90_temperature,p90_temperature,hinge_low,,"{'q': 0.1, 'cut': -1.5370922300585448}"
low_tail_q25__p90_temperature,p90_temperature,low_tail,,"{'q': 0.25, 'cut': -0.9170408939906753}"
hinge_low_q25__p90_temperature,p90_temperature,hinge_low,,"{'q': 0.25, 'cut': -0.9170408939906753}"
high_tail_q75__p90_temperature,p90_temperature,high_tail,,"{'q': 0.75, 'cut': 0.7492035586462648}"
hinge_high_q75__p90_temperature,p90_temperature,hinge_high,,"{'q': 0.75, 'cut': 0.7492035586462648}"
high_tail_q90__p90_temperature,p90_temperature,high_tail,,"{'q': 0.9, 'cut': 1.235304578283336}"
hinge_high_q90__p90_temperature,p90_temperature,hinge_high,,"{'q': 0.9, 'cut': 1.235304578283336}"
interaction_with_mean_vpd__p90_temperature,p90_temperature,interaction,mean_vpd,{'moderator_family': 'baseline_vpd'}
interaction_with_mean_soil_moisture__p90_temperature,p90_temperature,interaction,mean_soil_moisture,{'moderator_family': 'baseline_soil_moisture'}
interaction_with_aridity__p90_temperature,p90_temperature,interaction,aridity,{'moderator_family': 'aridity'}
interaction_with_mean_annual_precipitation__p90_temperature,p90_temperature,interaction,mean_annual_precipitation,{'moderator_family': 'precipitation'}
linear__sd_temperature,sd_temperature,linear,,{}
quadratic__sd_temperature,sd_temperature,quadratic,,{}
low_tail_q10__sd_temperature,sd_temperature,low_tail,,"{'q': 0.1, 'cut': -1.1403682195182216}"
hinge_low_q10__sd_temperature,sd_temperature,hinge_low,,"{'q': 0.1, 'cut': -1.1403682195182216}"
low_tail_q25__sd_temperature,sd_temperature,low_tail,,"{'q': 0.25, 'cut': -0.9186002269332574}"
hinge_low_q25__sd_temperature,sd_temperature,hinge_low,,"{'q': 0.25, 'cut': -0.9186002269332574}"
high_tail_q75__sd_temperature,sd_temperature,high_tail,,"{'q': 0.75, 'cut': 1.0354424975183192}"
hinge_high_q75__sd_temperature,sd_temperature,hinge_high,,"{'q': 0.75, 'cut': 1.0354424975183192}"
high_tail_q90__sd_temperature,sd_temperature,high_tail,,"{'q': 0.9, 'cut': 1.3537262056261654}"
hinge_high_q90__sd_temperature,sd_temperature,hinge_high,,"{'q': 0.9, 'cut': 1.3537262056261654}"
interaction_with_mean_vpd__sd_temperature,sd_temperature,interaction,mean_vpd,{'moderator_family': 'baseline_vpd'}
interaction_with_mean_soil_moisture__sd_temperature,sd_temperature,interaction,mean_soil_moisture,{'moderator_family': 'baseline_soil_moisture'}
interaction_with_aridity__sd_temperature,sd_temperature,interaction,aridity,{'moderator_family': 'aridity'}
interaction_with_mean_annual_precipitation__sd_temperature,sd_temperature,interaction,mean_annual_precipitation,{'moderator_family': 'precipitation'}
